2020-09-01 16:51:56:myapp     :32: INFO     > Server Start
2020-09-01 16:51:56:myapp     :33: DEBUG    > Debug Msg...
2020-09-01 16:51:56:myapp     :42: INFO     > GOLDMOON
2020-09-01 16:51:56:myapp     :50: INFO     > Haha...
2020-09-01 16:52:16:myapp     :50: INFO     > Haha...
2020-09-01 16:52:36:myapp     :50: INFO     > Haha...
2020-09-01 16:52:56:myapp     :50: INFO     > Haha...
2020-09-01 16:53:16:myapp     :50: INFO     > Haha...
2020-09-01 16:53:36:myapp     :50: INFO     > Haha...
2020-09-01 16:53:56:myapp     :50: INFO     > Haha...
2020-09-01 16:54:16:myapp     :50: INFO     > Haha...
2020-09-01 16:54:36:myapp     :50: INFO     > Haha...
2020-09-01 16:54:56:myapp     :50: INFO     > Haha...
2020-09-01 16:55:16:myapp     :50: INFO     > Haha...
2020-09-01 16:55:36:myapp     :50: INFO     > Haha...
2020-09-01 16:55:56:myapp     :50: INFO     > Haha...
2020-09-01 16:56:16:myapp     :50: INFO     > Haha...
2020-09-01 16:56:36:myapp     :50: INFO     > Haha...
2020-09-01 16:56:56:myapp     :50: INFO     > Haha...
2020-09-01 16:57:16:myapp     :50: INFO     > Haha...
2020-09-01 16:57:36:myapp     :50: INFO     > Haha...
2020-09-01 16:57:56:myapp     :50: INFO     > Haha...
2020-09-01 16:58:16:myapp     :50: INFO     > Haha...
2020-09-01 16:58:36:myapp     :50: INFO     > Haha...
2020-09-01 16:58:56:myapp     :50: INFO     > Haha...
2020-09-01 16:59:16:myapp     :50: INFO     > Haha...
2020-09-01 16:59:36:myapp     :50: INFO     > Haha...
2020-09-01 16:59:56:myapp     :50: INFO     > Haha...
2020-09-01 17:00:16:myapp     :50: INFO     > Haha...
2020-09-01 17:00:36:myapp     :50: INFO     > Haha...
2020-09-01 17:00:56:myapp     :50: INFO     > Haha...
2020-09-01 17:01:16:myapp     :50: INFO     > Haha...
2020-09-01 17:01:36:myapp     :50: INFO     > Haha...
2020-09-01 17:01:56:myapp     :50: INFO     > Haha...
2020-09-01 17:02:16:myapp     :50: INFO     > Haha...
2020-09-01 17:02:36:myapp     :50: INFO     > Haha...
2020-09-01 17:02:56:myapp     :50: INFO     > Haha...
2020-09-01 17:03:16:myapp     :50: INFO     > Haha...
2020-09-01 17:03:36:myapp     :50: INFO     > Haha...
2020-09-01 17:03:56:myapp     :50: INFO     > Haha...
2020-09-01 17:04:16:myapp     :50: INFO     > Haha...
2020-09-01 17:04:36:myapp     :50: INFO     > Haha...
2020-09-01 17:04:56:myapp     :50: INFO     > Haha...
2020-09-01 17:05:16:myapp     :50: INFO     > Haha...
2020-09-01 17:05:36:myapp     :50: INFO     > Haha...
2020-09-01 17:05:56:myapp     :50: INFO     > Haha...
2020-09-01 17:06:16:myapp     :50: INFO     > Haha...
2020-09-01 17:06:36:myapp     :50: INFO     > Haha...
2020-09-01 17:06:56:myapp     :50: INFO     > Haha...
2020-09-01 17:07:16:myapp     :50: INFO     > Haha...
2020-09-01 17:07:36:myapp     :50: INFO     > Haha...
2020-09-01 17:07:56:myapp     :50: INFO     > Haha...
2020-09-01 17:08:16:myapp     :50: INFO     > Haha...
2020-09-01 17:08:36:myapp     :50: INFO     > Haha...
2020-09-01 17:08:56:myapp     :50: INFO     > Haha...
